event_id,otsu_db,clear_pct,s1_clear_km2,s1_cloudy_km2,s1_total_km2,tracka_s1_km2
E03,,,,,,
E04,,,,,,
E02,,,,,,
E01,-16.0,0.0,0.0,28.86,28.86,28.86
E08,-16.0,25.4,25.37,81.81,107.18,107.18
E09,-16.0,92.8,4.76,1.35,6.11,6.11
E07,-16.0,63.3,5.01,5.82,10.83,10.83
E05,-16.0,3.8,0.12,8.71,8.83,8.83
E12,-16.0,45.3,12.93,17.55,30.48,30.48
E11,-16.0,31.3,0.32,0.37,0.69,0.69
E13,-16.0,0.0,0.0,35.52,35.52,35.52
E06,-16.0,63.8,0.91,0.74,1.65,1.65
E10,-16.0,63.7,4.52,4.57,9.09,9.08
E14,-16.0,0.0,0.0,203.53,203.53,203.53
E18,-16.0,0.0,0.0,1.14,1.14,1.14
E16,-14.75,78.1,123.24,42.16,165.4,165.41
E20,,,,,,
E21,,,,,,
E15,-13.74,9.3,13.32,196.89,210.21,210.19
E23,,,,,,
E24,,,,,,
E25,,,,,,
E19,-16.0,0.0,0.0,5.91,5.91,5.91
E17,-16.0,15.9,3.67,202.74,206.41,206.41
E27,-16.0,0.0,0.0,124.81,124.81,124.81
E28,-16.0,6.8,1.23,64.05,65.28,65.28
E30,-16.0,27.5,0.02,0.0,0.02,0.02
E22,-16.0,66.5,0.6,1.28,1.88,1.88
E26,-16.0,0.0,0.0,18.93,18.93,18.93
E33,,,,,,
E34,,,,,,
E31,-16.0,93.5,7.68,3.16,10.84,10.84
E32,-13.75,96.8,272.6,1.91,274.51,274.52
E35,-13.24,99.1,23.09,2.92,26.01,26.02
E29,-16.0,95.6,0.01,0.0,0.01,0.01
E36,-16.0,100.0,30.63,0.01,30.64,30.64
E37,-16.0,7.9,0.09,4.7,4.79,4.79
E38,-16.0,100.0,4.59,0.01,4.6,4.6
E40,-16.0,99.6,8.71,0.06,8.77,8.77
E43,,,,,,
E44,,,,,,
E39,-16.0,99.4,20.69,0.26,20.95,20.95
E42,-16.0,83.3,13.25,2.16,15.41,15.4
E47,,,,,,
E46,-16.0,77.0,0.89,0.35,1.24,1.23
E45,-16.0,0.0,0.0,1.09,1.09,1.09
E49,-16.0,0.0,0.0,1.26,1.26,1.26
E48,-16.0,45.2,52.86,43.0,95.86,95.86
E51,-16.0,99.9,128.65,0.83,129.48,129.49
E52,-16.0,72.6,86.26,37.23,123.49,123.49
E54,,,,,,
E41,-16.0,73.5,1.73,1.42,3.15,3.16
E56,,,,,,
E53,-14.73,100.0,53.45,0.0,53.45,53.43
E50,-16.0,99.6,132.84,0.28,133.12,133.12
E55,-15.75,63.4,113.53,29.24,142.77,142.77
E60,-16.0,0.0,0.0,0.83,0.83,0.83
E59,-16.0,0.0,0.0,0.71,0.71,0.71
E57,-16.0,91.1,9.56,1.06,10.62,10.62
E58,-16.0,94.5,58.44,1.52,59.96,59.96
E62,-16.0,69.6,0.0,0.0,0.0,0.0
E65,-16.0,19.4,0.01,0.0,0.01,0.01
E61,-16.0,0.0,0.0,10.61,10.61,10.61
E63,-16.0,65.5,2.06,42.8,44.86,44.86
E66,-16.0,46.0,0.02,0.0,0.02,0.02
E64,-16.0,71.4,2.23,11.16,13.39,13.4
E69,-16.0,99.9,1.12,0.0,1.12,1.13
E70,-16.0,81.3,5.17,1.91,7.08,7.09
E67,-16.0,0.0,0.0,38.5,38.5,38.5
E71,-16.0,46.5,0.04,0.13,0.17,0.16
E72,-16.0,72.1,90.16,53.44,143.6,143.6
E74,-16.0,89.0,35.97,2.98,38.95,38.95
E68,-16.0,92.1,250.87,37.15,288.02,288.02
E75,-16.0,80.4,10.11,5.59,15.7,15.7
E77,-16.0,0.0,0.0,19.7,19.7,19.7
E78,-16.0,20.0,0.03,0.31,0.34,0.34
E79,-16.0,58.2,3.01,19.93,22.94,22.94
E81,,,,,,
E82,,,,,,
E83,-16.0,0.0,0.0,15.09,15.09,15.09
E73,-16.0,96.6,27.11,1.38,28.49,28.5
E84,-16.0,0.0,0.0,6.33,6.33,6.33
E80,-16.0,59.8,6.61,15.11,21.72,21.72
E87,-16.0,99.9,205.62,1.39,207.01,207.01
E76,-16.0,20.7,5.94,14.67,20.61,20.61
E89,,,,,,
E90,,,,,,
E86,-16.0,99.9,178.6,1.82,180.42,180.42
E85,-16.0,95.5,1.6,0.07,1.67,1.66
E93,,,,,,
E91,-16.0,0.0,0.0,5.76,5.76,5.76
E92,-16.0,0.0,0.0,6.33,6.33,6.33
E96,,,,,,
E94,-16.0,0.0,0.0,4.76,4.76,4.76
E88,-13.24,76.9,31.94,8.65,40.59,40.59
E99,,,,,,
E100,,,,,,
E101,,,,,,
E97,-16.0,0.0,0.0,19.02,19.02,19.02
E103,-16.0,4.4,0.26,1.64,1.9,1.91
E98,-14.74,25.3,1.73,12.43,14.16,14.16
E102,-16.0,38.1,0.54,1.03,1.57,1.56
E106,-16.0,76.4,0.01,0.03,0.04,0.03
E107,,,,,,
E108,,,,,,
E104,-16.0,89.3,0.42,0.06,0.48,0.48
E110,-16.0,76.2,0.04,0.01,0.05,0.05
E111,,,,,,
E105,-16.0,52.6,0.36,0.96,1.32,1.32
E109,-16.0,0.0,0.0,0.42,0.42,0.42
E114,-16.0,97.5,0.27,0.02,0.29,0.28
E112,-16.0,0.0,0.0,0.14,0.14,0.14
E116,,,,,,
E117,-16.0,100.0,4.62,0.0,4.62,4.62
E118,-16.0,96.5,78.8,2.93,81.73,81.73
E113,-16.0,0.0,0.0,0.7,0.7,0.7
E119,-14.24,81.7,106.19,24.97,131.16,131.15
E121,,,,,,
E122,-15.25,43.0,2606.19,2649.49,5255.68,5256.4
E123,-16.0,26.9,136.21,97.65,233.86,233.85
E120,-16.0,87.0,7.42,0.45,7.87,7.87
E125,,,,,,
E126,,,,,,
E127,-16.0,45.0,9.07,12.2,21.27,21.27
E128,,,,,,
E129,-16.0,0.0,0.0,67.08,67.08,67.08
E124,-14.74,99.3,3826.61,18.53,3845.14,3844.59
E131,,,,,,
E130,-16.0,0.0,0.0,6.22,6.22,6.22
E133,-16.0,86.5,1.4,0.58,1.98,1.97
E134,,,,,,
E135,-16.0,54.8,62.97,90.03,153.0,153.0
E132,-16.0,7.1,0.47,5.11,5.58,5.58
E95,-16.0,97.3,7.05,0.32,7.37,7.37
E136,-16.0,0.0,0.0,2.75,2.75,2.75
E137,-16.0,0.0,0.0,0.03,0.03,0.03
E138,-16.0,0.0,0.0,0.16,0.16,0.16
E140,-16.0,0.0,0.0,6.82,6.82,6.82
E142,,,,,,
E143,,,,,,
E141,-16.0,0.0,0.0,3.12,3.12,3.12
E139,-16.0,65.4,2.9,2.06,4.96,4.96
E144,-16.0,0.0,0.0,8.45,8.45,8.45
E145,-16.0,84.4,59.75,8.36,68.11,68.12
E146,-16.0,0.0,0.0,49.9,49.9,49.9
E147,-16.0,97.6,53.97,7.98,61.95,61.95
E148,-16.0,100.0,14.16,0.01,14.17,14.18
E115,-16.0,90.1,0.36,0.04,0.4,0.4
E150,-16.0,69.9,1.46,1.55,3.01,3.01
E151,-16.0,65.7,1.57,11.17,12.74,12.73
E149,-16.0,100.0,6.36,0.0,6.36,6.36
E153,-16.0,0.0,0.0,4.01,4.01,4.01
E154,-16.0,0.0,0.0,4.05,4.05,4.05
E152,-16.0,0.0,0.0,46.58,46.58,46.58
E156,-16.0,26.6,0.12,11.68,11.8,11.8
E159,,,,,,
E155,-16.0,23.4,0.4,34.66,35.06,35.06
E160,-16.0,0.0,0.0,10.57,10.57,10.57
E162,,,,,,
E163,-16.0,92.7,16.3,0.31,16.61,16.61
E164,-16.77,0.0,0.0,0.02,0.02,0.02
E158,-16.0,2.4,0.06,29.87,29.93,29.93
E165,-14.81,66.7,0.01,0.0,0.01,0.01
E157,-16.0,38.0,0.54,13.77,14.31,14.31
E161,-16.0,85.9,0.88,9.74,10.62,10.62
E166,-16.0,99.6,11.0,0.57,11.57,11.57
E167,-16.72,98.0,0.03,0.0,0.03,0.03
E168,-15.21,100.0,0.03,0.0,0.03,0.03
